driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,26.0,Finished,,
RUS,Mercedes,6.0,2.0,18.0,Finished,,
LEC,Ferrari,2.0,3.0,15.0,Finished,,
HAM,Mercedes,4.0,4.0,12.0,Finished,,
PER,Red Bull Racing,5.0,5.0,10.0,Finished,,
ALO,Alpine,13.0,6.0,8.0,Finished,,
NOR,McLaren,7.0,7.0,6.0,Finished,,
SAI,Ferrari,3.0,8.0,4.0,Finished,,
OCO,Alpine,12.0,9.0,2.0,Finished,,
STR,Aston Martin,10.0,10.0,1.0,Finished,,
GAS,AlphaTauri,11.0,11.0,0.0,Finished,,
ALB,Williams,15.0,12.0,0.0,Finished,,
MSC,Haas F1 Team,8.0,13.0,0.0,Finished,,
VET,Aston Martin,19.0,14.0,0.0,Finished,,
MAG,Haas F1 Team,18.0,15.0,0.0,Finished,,
ZHO,Alfa Romeo,14.0,16.0,0.0,Finished,,
RIC,McLaren,17.0,17.0,0.0,Finished,,
LAT,Williams,20.0,18.0,0.0,+1 Lap,,
BOT,Alfa Romeo,16.0,19.0,0.0,Engine,,
TSU,AlphaTauri,9.0,20.0,0.0,Differential,,
